Gene	Sample_A	Sample_B	Sample_C	Sample_D	Sample_E	Sample_F
RANDOM92	1.31363	0.98325	0.00283	-0.28643	0.74150	-0.44231
RANDOM93	0.73603	-0.72465	-0.36188	0.98997	-0.02314	-0.51341
RANDOM94	1.50668	-0.36303	-0.07462	0.56273	-1.04878	-1.00832
RANDOM95	0.31282	0.21228	0.83166	0.09101	-0.89503	1.17693
RANDOM96	-1.25112	-0.71621	0.76371	0.02200	0.34359	-0.10037
RANDOM97	-1.22685	0.79606	1.58054	0.25085	0.51020	0.24187
RANDOM98	-0.36332	-0.66635	0.46516	0.03179	0.46001	0.44712
RANDOM99	-1.32126	1.15823	-1.19541	0.39651	0.25957	-1.49422
RANDOM100	1.08400	1.14899	-1.15116	1.20401	0.30296	0.25362
RANDOM101	1.11581	0.03360	0.50767	0.23487	0.23499	-1.33843
RANDOM102	0.61821	0.52256	0.52613	1.69420	0.03258	1.20957
RANDOM103	-0.23563	-0.09559	1.23884	-0.35675	-1.16649	-0.00388
RANDOM104	0.62025	0.08267	1.42846	-0.19157	-0.00494	0.61113
RANDOM105	-0.59005	0.31970	0.35708	0.79430	1.25905	-0.14282
RANDOM106	-2.54438	0.09810	-0.48113	-0.13560	0.96138	-0.77643
RANDOM107	0.75895	-0.29459	-0.82905	-0.12286	-0.85239	0.43849
RANDOM108	-0.13369	-1.63275	-1.14000	0.33911	0.72642	-1.37578
RANDOM109	-0.05482	-0.76194	0.53242	-0.05544	-1.22799	-1.30757
RANDOM110	-0.26581	0.16040	0.53845	0.30278	0.03579	-2.17145
RANDOM111	-0.14095	0.09632	-0.36783	-0.13461	0.00450	0.15898
RANDOM112	0.24476	-0.62899	0.22790	0.60209	-1.00745	0.32952
RANDOM113	0.08531	0.85337	-0.10410	0.21807	-1.53565	-0.86230
RANDOM114	1.16044	-0.89888	-1.85899	-0.85903	2.16706	-0.56637
RANDOM115	-1.29078	1.30331	1.16475	0.16131	-0.80496	-0.98284
RANDOM116	-0.77480	-0.97911	-1.74020	-0.22279	-1.48527	-0.66135
RANDOM117	1.29516	0.39767	-0.30006	0.61320	-0.03517	1.22732
RANDOM118	1.38246	0.69421	-0.55087	-1.03578	0.03063	-0.05992
RANDOM119	0.46965	1.52684	1.13095	-0.80299	0.63146	-0.75383
RANDOM120	-0.02672	-0.55399	0.36835	-1.04736	-0.91409	0.01751
